entity,total_volume,n_transfers,tier,n_addresses,share_pct,volume_B,old_share_pct
Binance,2894980705871.9727,14728599,2,5,36.098906790930194,2894.9807058719725,0.5938447573818074
Coinbase,1899764313604.7422,18566565,1,6,23.689074936648616,1899.7643136047423,4.7577700424045675e-07
Circle,1465127905961.1304,874726,1,3,18.26938452709003,1465.1279059611304,61.895619622220586
Kraken,471393365432.8258,3114510,2,5,5.8780305948522695,471.3933654328258,8.143348824658467e-09
OKX,464085606640.89795,5661285,2,15,5.786906635737334,464.08560664089794,0.0011877470414725522
Tether,377033911066.4621,5024,2,2,4.701417175251457,377.0339110664621,12.587191681293941
Bybit,206387570462.1552,3622102,2,1,2.5735458802223063,206.38757046215522,0.0
Curve 3pool,126279485542.24187,688637,3,1,1.5746396405854333,126.27948554224187,5.588792935700492
1inch,62722005062.33883,2440131,3,1,0.7821108478868574,62.72200506233883,0.0
Uniswap Universal Router,23511006593.32967,4899946,3,1,0.2931700490618354,23.51100659332967,0.0
Compound V3,19458054685.45068,109226,3,1,0.24263184241545346,19.45805468545068,0.0
Uniswap V3,6221950130.38033,438280,3,1,0.07758448868375582,6.22195013038033,0.05745959987626259
BitGo,2612324615.144169,25065,1,1,0.03257433204942139,2.612324615144169,0.0
Tornado Cash,1784815.020097,2822,3,1,2.2255716909908536e-05,0.0017848150200970002,0.0
Aave V3,158.67371,12,3,1,1.978578805669733e-09,1.5867371e-07,7.022474836047274e-09
Robinhood,50.0,3,2,1,6.234740479912308e-10,5e-08,0.0
Gemini,21.337726,4,1,2,2.6607036808295474e-10,2.1337726e-08,18.702152414537938
